"","Mech","Score","pred","mean_resid","median_resid"
"1","Adder",2422.18666666667,2483.68582023199,-61.4991535653278,-198.685820231995
"2","Arctic Cheetah",2853.08,2434.49331741272,418.586682587277,295.506682587277
"3","Atlas",2779.42666666667,2884.1176025293,-104.69093586263,-194.117602529296
"4","Awesome",2950.92,2687.34759125221,263.572408747792,156.652408747792
"5","Banshee",2810.25333333333,2834.92509971002,-24.671766376691,-218.925099710024
"6","Battlemaster",3087.10666666667,2736.54009407148,350.566572595186,159.45990592852
"7","Blackjack",2641.12,2343.0000715173,298.119928482696,178.999928482696
"8","Centurion",2517.66666666667,2392.19257433658,125.47409233009,-2.1925743365764
"9","Cicada",2643.28,2293.80756869803,349.472431301968,236.192431301968
"10","Commando",1956.18666666667,2146.23006024022,-190.043393573549,-266.230060240216
"11","Crab",2368.13333333333,2392.19257433658,-24.0592410032431,-144.192574336576
"12","Dire Wolf",3228.66666666667,3123.18835688253,105.478309784136,-27.188356882531
"13","Enforcer",2435.28,2441.38507715585,-6.10507715584819,-61.3850771558482
"14","Executioner",2708.58666666667,3073.99585406326,-365.409187396592,-517.995854063259
"15","Firestarter",2185.38666666667,2244.61506587876,-59.2283992120934,-216.61506587876
"16","Gargoyle",2623.76,2926.41834560544,-302.658345605443,-384.418345605443
"17","Griffin",2483.2,2441.38507715585,41.8149228441518,-65.3850771558482
"18","Highlander",2402.50666666667,2785.73259689075,-383.225930224086,-525.732596890753
"19","Highlander IIC",2771.74666666667,3024.80335124399,-253.05668457732,-377.803351243987
"20","Hunchback",2534.72,2392.19257433658,142.527425663424,91.8074256634236
"21","Hunchback IIC",2908.17333333333,2631.26332868981,276.910004643523,194.736671310189
"22","Ice Ferret",2257.04,2582.07082587054,-325.030825870539,-463.070825870539
"23","Jenner",2351.25333333333,2244.61506587876,106.638267454573,41.3849341212399
"24","Jenner IIC",2379.01333333333,2483.68582023199,-104.672486898661,-189.685820231995
"25","King Crab",2928.28,2884.1176025293,44.1623974707038,-36.1176025292962
"26","Kintaro",2307.77333333333,2441.38507715585,-133.611743822515,-194.385077155848
"27","Kit Fox",2132.24,2434.49331741272,-302.253317412723,-375.493317412723
"28","Kodiak",3689.49333333333,3123.18835688253,566.304976450802,430.811643117469
"29","Locust",2511.68,2097.03755742094,414.642442579056,300.962442579056
"30","Mauler",3092.57333333333,2785.73259689075,306.840736442581,232.267403109247
"31","Mist Lynx",1919.06666666667,2385.30081459345,-466.234147926784,-561.300814593451
"32","Nova",3158.93333333333,2631.26332868981,527.670004643522,435.736671310189
"33","Panther",2043.57333333333,2244.61506587876,-201.041732545427,-323.61506587876
"34","Phoenix Hawk",2013.21333333333,2343.0000715173,-329.786738183971,-420.000071517304
"35","Raven",2393.90666666667,2244.61506587876,149.291600787907,57.3849341212399
"36","Shadow Cat",2692.64,2582.07082587054,110.569174129461,-29.070825870539
"37","Shadow Hawk",2571.57333333333,2441.38507715585,130.188256177485,-27.3850771558482
"38","Spider",2191.42666666667,2195.42256305949,-3.99589639282164,-131.422563059488
"39","Stalker",2773.89333333333,2736.54009407148,37.353239261853,-32.5400940714803
"40","Stormcrow",2789.62666666667,2680.45583150908,109.170835157584,-14.4558315090826
"41","Trebuchet",2308.22666666667,2392.19257433658,-83.9659076699097,-172.192574336576
"42","Urban Mech",1925.34666666667,2195.42256305949,-270.075896392822,-393.422563059488
"43","Victor",2251.93333333333,2687.34759125221,-435.414257918875,-502.347591252208
"44","Vindicator",2140.86666666667,2343.0000715173,-202.133404850637,-324.000071517304
"45","Viper",2668.12,2532.87832305127,135.241676948733,84.1216769487332
"46","Warhawk",2906.49333333333,2975.61084842472,-69.1175150913818,-184.610848424715
"47","Wolf Hound",2146.74666666667,2244.61506587876,-97.8683992120934,-188.61506587876
"48","Wolverine",2428.65333333333,2441.38507715585,-12.7317438225149,-126.385077155848
"49","Zeus",2489.33333333333,2687.34759125221,-198.014257918875,-288.347591252208
